This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202002 CRSP database.,,,,,,
The 1-month TBill return is from Ibbotson and Associates Inc.,,,,,,
,,,,,,
Date,Mkt-RF,SMB,HML,RMW,CMA,RF
Jul-63,-0.39,-0.47,-0.83,0.66,-1.15,0.27
Aug-63,5.07,-0.79,1.67,0.39,-0.4,0.25
Sep-63,-1.57,-0.48,0.18,-0.76,0.24,0.27
Oct-63,2.53,-1.29,-0.1,2.75,-2.24,0.29
Nov-63,-0.85,-0.84,1.71,-0.45,2.22,0.27
Dec-63,1.83,-1.89,-0.12,0.08,-0.3,0.29
Jan-64,2.24,0.08,1.59,0.22,1.5,0.3
Feb-64,1.54,0.32,2.83,0.06,0.85,0.26
Mar-64,1.41,1.41,3.32,-2.01,2.93,0.31
Apr-64,0.1,-1.52,-0.55,-1.35,-1.08,0.29
May-64,1.42,-0.68,1.98,-0.26,0.24,0.26
Jun-64,1.27,0.09,0.68,-0.42,0.14,0.3
Jul-64,1.74,0.53,0.68,0.14,1.84,0.3
Aug-64,-1.44,0.3,0.09,0.06,0.36,0.28
Sep-64,2.69,-0.31,1.65,-0.48,0.58,0.28
Oct-64,0.59,0.88,1.14,-0.29,0.48,0.29
Nov-64,0,-0.27,-1.98,0.6,-0.16,0.29
Dec-64,0.03,-0.58,-2.55,1.13,-1.63,0.31
Jan-65,3.54,2.49,0.18,0.84,0.11,0.28
Feb-65,0.44,3.31,0.22,0.4,-0.69,0.3
Mar-65,-1.34,2.03,1.09,-0.3,0.73,0.36
Apr-65,3.11,1.18,0.71,0.26,-2.3,0.31
May-65,-0.77,0.06,-1.63,-0.37,0.7,0.31
Jun-65,-5.51,-4.3,0.55,0.12,0.41,0.35
Jul-65,1.43,1.07,2.18,-1.41,-0.02,0.31
Aug-65,2.73,2.72,-0.96,2.06,-0.76,0.33
Sep-65,2.86,0.62,-0.1,-0.82,0.82,0.31
Oct-65,2.6,3.42,1.52,1.22,-0.76,0.31
Nov-65,-0.03,5.19,0.21,-1.06,-0.9,0.35
Dec-65,1.01,2.64,1.95,-1.28,-0.45,0.33
Jan-66,0.72,4.72,3.49,-2.83,-0.07,0.38
Feb-66,-1.21,4.86,0.27,-0.15,-1.44,0.35
Mar-66,-2.51,0.22,-2.07,1.3,-0.01,0.38
Apr-66,2.14,3.36,-0.54,0.41,-0.91,0.34
May-66,-5.66,-5.18,-1.55,1.66,-1.52,0.41
Jun-66,-1.44,1.34,0.5,0.06,0.8,0.38
Jul-66,-1.63,-0.5,0.96,-0.45,1.77,0.35
Aug-66,-7.91,-3.03,0.47,0.05,0.77,0.41
Sep-66,-1.06,-1.18,0.53,-1.65,2.5,0.4
Oct-66,3.86,-6.53,2.87,-3.64,4.28,0.45
Nov-66,1.4,3.37,-4.46,4.17,-6.53,0.4
Dec-66,0.13,1.91,-1.22,0.68,-0.13,0.4
Jan-67,8.15,9,2.22,0.62,-2.97,0.43
Feb-67,0.78,3.03,-2.17,1.94,-0.94,0.36
Mar-67,3.99,1.9,0.31,0.9,-1.51,0.39
Apr-67,3.89,0.46,-2.64,2.43,-3.75,0.32
May-67,-4.33,2.37,0.8,-1.75,1.61,0.33
Jun-67,2.41,6.46,0.96,-0.64,-2.39,0.27
Jul-67,4.58,3.48,2.65,0.51,2.72,0.31
Aug-67,-0.89,0.76,1.46,0.42,1.41,0.31
Sep-67,3.11,2.46,-2.47,0.22,-0.95,0.32
Oct-67,-3.09,0.47,-3.39,0.81,-2.55,0.39
Nov-67,0.37,-0.06,-1.71,1.29,-2.29,0.36
Dec-67,3.05,5.75,-0.39,-0.65,0.03,0.33
Jan-68,-4.06,4.49,4.75,-4.58,6.45,0.4
Feb-68,-3.75,-2.91,1.17,-0.14,2.49,0.39
Mar-68,0.2,-1.52,-0.59,1.17,-1.15,0.38
Apr-68,9.05,6.25,-1.03,2.79,-3.66,0.43
May-68,2.28,7.04,0.84,0.39,-1.82,0.45
Jun-68,0.69,-0.26,0.67,-1.33,2.68,0.43
Jul-68,-2.72,-1.33,5.48,-3,3.61,0.48
Aug-68,1.34,2.29,1,-0.6,0.4,0.42
Sep-68,4.03,2.77,0.24,-2.03,0.92,0.43
Oct-68,0.42,-0.43,2.89,-1.3,2.81,0.44
Nov-68,5.43,2.41,-0.9,0.46,-2.52,0.42
Dec-68,-3.94,3.6,0.02,-1.78,1.65,0.43
Jan-69,-1.25,-0.46,1.69,-1.54,1.41,0.53
Feb-69,-5.84,-4.12,0.9,2.17,0.8,0.46
Mar-69,2.64,-0.41,-0.46,-1.34,-0.42,0.46
Apr-69,1.46,-0.83,0.03,0.38,0.06,0.53
May-69,-0.1,-0.18,0.73,-0.97,1.49,0.48
Jun-69,-7.18,-5.49,-1.09,4.26,-1.55,0.51
Jul-69,-7,-3.37,1.42,1.4,1.97,0.53
Aug-69,4.68,0.71,-3.87,1.16,-4.08,0.5
Sep-69,-2.98,1.29,-3.19,3.42,-0.83,0.62
Oct-69,5.06,3.89,-3.19,0.01,-2.03,0.6
Nov-69,-3.79,-2.41,-1.12,1.44,0.32,0.52
Dec-69,-2.63,-3.7,-3.02,2.47,-2.04,0.64
Jan-70,-8.1,3.09,3.04,-1.77,3.92,0.6
Feb-70,5.13,-2.58,4.04,-2.28,3.06,0.62
Mar-70,-1.06,-2.4,4.25,-0.87,4.43,0.57
Apr-70,-11,-6.3,6.39,-0.64,5.88,0.5
May-70,-6.92,-4.42,3.6,-1.3,3.62,0.53
Jun-70,-5.79,-2.17,0.87,0.19,2.9,0.58
Jul-70,6.93,-0.69,0.96,-0.07,1.9,0.52
Aug-70,4.49,1.54,1.03,0.57,-0.15,0.53
Sep-70,4.18,8.49,-5.58,0.24,-5.93,0.54
Oct-70,-2.28,-4.5,0.27,1.83,2.38,0.46
Nov-70,4.59,-4,1.63,1.75,1.59,0.46
Dec-70,5.72,3.02,1.01,0.14,0.28,0.42
Jan-71,4.84,7.54,1.38,-2.19,-0.14,0.38
Feb-71,1.41,2.05,-1.29,0.65,-0.72,0.33
Mar-71,4.13,2.15,-4.04,1.97,-2.69,0.3
Apr-71,3.15,-0.37,0.72,-1.56,0.72,0.28
May-71,-3.98,-1.17,-1.38,1.46,0.3,0.29
Jun-71,-0.1,-1.45,-2.06,1.52,-1.74,0.37
Jul-71,-4.5,-1.41,0.17,0.48,1.62,0.4
